"animalID","year","observed","tagsex","firstobsmolt","lastobsmolt","season","firstobsbreed","lastobsbreed","numbreed","firstobsbreeddoy","lastobsmoltdoy","breeddur","tripdur","moltdur","pupID","pupsex","yearborn","age","pupyearborn","firstyearindicator","indices","pupseeneveragain","puprecruited"
10898,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14489,"F",1989,7,"1996","1997",33,0,0
10898,1997,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
10898,1998,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,9,"NA","NA",NA,NA,NA
10899,1992,"B","F","1991-03-27","1991-04-02",1992,"1992-01-02","1992-01-26",23,2,92,24,275,6,NA,NA,1989,3,"NA","NA",NA,NA,NA
10899,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10899,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,6,"NA","NA",NA,NA,NA
10899,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14579,"F",1989,7,"1996","1997",33,0,0
10899,1997,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15324,"M",1989,8,"1997","1998",34,0,0
10899,1998,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15847,"M",1989,9,"1998","1999",35,1,0
10899,1999,"B","F","1998-05-31","1998-05-31",1999,"1999-01-12","1999-01-16",3,12,151,4,226.041666666667,0,NA,NA,1989,10,"NA","NA",NA,NA,NA
10918,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10918,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13979,"M",1989,6,"1995","1996",32,0,0
10918,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14551,"M",1989,7,"1996","1997",33,0,0
10918,1997,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
10918,1998,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,9,"NA","NA",NA,NA,NA
10918,1999,"B","F","1998-05-25","1998-05-25",1999,"1999-01-05","1999-01-09",2,5,145,NA,225.041666666667,0,NA,NA,1989,10,"NA","NA",NA,NA,NA
10918,2002,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,13,"NA","NA",NA,NA,NA
10918,2004,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,15,"NA","NA",NA,NA,NA
10918,2005,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,16,"NA","NA",NA,NA,NA
10918,2006,"B","F","2005-03-25","2005-04-24",2006,NA,"2006-01-17",11,NA,114,NA,NA,29.9583333333333,17320,"M",1989,17,"2006","2007",43,0,0
10918,2007,"B","F","2006-05-05","2006-05-19",2007,"2007-01-07","2007-02-01",19,7,139,25,233.041666666667,14,NA,NA,1989,18,"NA","NA",NA,NA,NA
10918,2008,"B","F","2007-04-16","2007-05-14",2008,"2008-01-18","2008-01-18",1,18,134,NA,249.041666666667,28,NA,NA,1989,19,"NA","NA",NA,NA,NA
10922,1996,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,7,"NA","NA",NA,NA,NA
10925,1992,"1","F",NA,NA,NA,NA,NA,NA,NA,97,NA,NA,15,NA,NA,1989,3,"NA","NA",NA,NA,NA
10925,1993,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10925,1994,"B","F","1993-04-13","1993-04-20",1994,"1994-01-18","1994-02-22",28,18,110,35,273.041666666667,7,12634,"M",1989,5,"1994","1995",31,0,0
10925,1994,"B","F","1993-04-13","1993-04-20",1994,"1994-01-18","1994-02-22",28,18,110,35,273.041666666667,7,12695,"F",1989,5,"1994","1995",31,0,0
10930,1992,"1","F",NA,NA,NA,NA,NA,NA,NA,99,NA,NA,4.95833333333333,NA,NA,1989,3,"NA","NA",NA,NA,NA
10930,1993,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10941,1993,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10941,1994,"B","F","1993-03-31","1993-05-09",1994,"1994-01-10","1994-02-04",11,10,129,25,246.041666666667,38.9583333333333,NA,NA,1989,5,"NA","NA",NA,NA,NA
10947,1992,"B","F","1991-04-12","1991-04-12",1992,"1992-01-21","1992-02-13",13,21,102,23,284.041666666667,0,12065,"F",1989,3,"1992","1993",29,0,0
10947,1993,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10947,1994,"1","F",NA,NA,NA,NA,NA,NA,NA,102,NA,NA,11.9583333333333,NA,NA,1989,5,"NA","NA",NA,NA,NA
10947,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,6,"NA","NA",NA,NA,NA
10947,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,7,"NA","NA",NA,NA,NA
10947,1997,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
10947,1999,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,10,"NA","NA",NA,NA,NA
10947,2001,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,12,"NA","NA",NA,NA,NA
10947,2002,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,13,"NA","NA",NA,NA,NA
10947,2003,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,14,"NA","NA",NA,NA,NA
10947,2004,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,15,"NA","NA",NA,NA,NA
10947,2005,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,16,"NA","NA",NA,NA,NA
10947,2006,"B","F","2005-04-19","2005-04-30",2006,"2006-01-05","2006-01-17",7,5,120,12,250.041666666667,11,NA,NA,1989,17,"NA","NA",NA,NA,NA
10947,2007,"B","F","2006-05-01","2006-06-08",2007,"2007-01-10","2007-02-01",15,10,159,22,216.041666666667,38,NA,NA,1989,18,"NA","NA",NA,NA,NA
10947,2008,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,19,"NA","NA",NA,NA,NA
10948,1993,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10948,1994,"B","F","1993-03-31","1993-05-14",1994,"1994-01-11","1994-02-11",26,11,134,31,242.041666666667,43.9583333333333,NA,NA,1989,5,"NA","NA",NA,NA,NA
10948,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14322,"F",1989,6,"1995","1996",32,0,0
10953,1993,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10953,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13891,"F",1989,6,"1995","1996",32,6,1
10953,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14697,"M",1989,7,"1996","1997",33,0,0
10953,1997,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15464,"M",1989,8,"1997","1998",34,0,0
10953,2000,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,11,"NA","NA",NA,NA,NA
10953,2001,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17011,"F",1989,12,"2001","2002",38,0,0
10953,2003,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,14,"NA","NA",NA,NA,NA
